epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3183,2.00785,3.022,0.96203,0.74007,0.32207,0.2085,0.12322,0.93632,5.27983,0.89545,0.00017148,0.00017148,0.00017148
2,155.938,1.73845,1.52199,0.92057,0.47418,0.19611,0.15348,0.07561,1.35697,3.35882,0.98966,0.000321882,0.000321882,0.000321882
3,232.906,1.67422,1.44521,0.89181,0.40157,0.15766,0.05994,0.02683,1.65851,4.96923,1.05403,0.000435502,0.000435502,0.000435502
4,310.792,1.71291,1.42007,0.9097,0.12645,0.19144,0.13935,0.09062,1.09903,2.51883,0.93293,0.000512339,0.000512339,0.000512339
5,389.418,1.58821,1.13305,0.89854,0.53242,0.24099,0.25502,0.15778,1.13521,2.15655,0.95938,0.000552394,0.000552394,0.000552394
6,467.834,1.59235,1.16364,0.88847,0.61393,0.16667,0.23413,0.15578,1.11155,1.19602,0.95847,0.000555667,0.000555667,0.000555667
7,543.828,1.58951,1.14478,0.87709,0.58907,0.17816,0.21553,0.13389,1.21277,1.15063,1.00496,0.000522157,0.000522157,0.000522157
8,621.208,1.50362,0.94676,0.86478,0.28468,0.1845,0.24358,0.15962,1.11966,0.98601,0.97451,0.000438703,0.000438703,0.000438703
9,702.231,1.49813,0.95995,0.8743,0.24359,0.25063,0.28202,0.19071,1.00549,0.85365,0.94052,0.000297232,0.000297232,0.000297232
10,782.264,1.45529,0.88152,0.87067,0.26036,0.25225,0.28208,0.19325,0.97768,0.82341,0.93012,0.000155761,0.000155761,0.000155761
